[13:30:17] START trujillo v3 section list crawl (main cards ONLY, tuned)
[13:30:17] base=https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701
[15:09:39]   + https://www.locanto.com.pe/trujillo/ID_7562134974/Doy-ayuda-economica-
[15:10:32]   + https://www.locanto.com.pe/trujillo/ID_7562160276/DOY-AYUDA-ECONOMICA-
[15:11:22]   + https://www.locanto.com.pe/trujillo/ID_7562160678/HOLA-SENORITA-SOY-MI
[15:11:58]   + https://www.locanto.com.pe/trujillo/ID_8219702812/Brindo-ayudar-econom
[15:12:42]   + https://www.locanto.com.pe/trujillo/ID_7323881473/DOY-AYUDA-ECONOMICA-
[15:13:31]   + https://www.locanto.com.pe/trujillo/ID_7548266368/HOLA-SENORITAS-YO-LE
[15:14:23]   + https://www.locanto.com.pe/trujillo/ID_7548283243/Brindo-ayuda-economi
[15:14:23] LIST p4: https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701/4/?query=ayuda+economica
[15:15:17]   main IDs: 48
[15:15:53]   + https://www.locanto.com.pe/trujillo/ID_8193446986/Ayuda-economica-para
[15:16:25]   + https://www.locanto.com.pe/trujillo/ID_7318312033/DOY-AYUDA-ECONOMICA-
[15:16:49]   + https://www.locanto.com.pe/trujillo/ID_7199917606/DOY-AYUDA-ECONOMICA-
[15:17:33]   + https://www.locanto.com.pe/trujillo/ID_7726548267/Ayuda-economica-a-mu
[15:18:27]   + https://www.locanto.com.pe/trujillo/ID_8068185067/Doy-ayuda-economica-
[15:18:52]   + https://www.locanto.com.pe/trujillo/ID_4395324425/Brindo-ayuda-economi
[15:19:27]   + https://www.locanto.com.pe/trujillo/ID_7629175997/HOLA-CHICAS-LES-PUED
[15:19:53]   + https://www.locanto.com.pe/trujillo/ID_6535459478/DOY-AYUDA-ECONOMICA-
[15:20:14]   + https://www.locanto.com.pe/trujillo/ID_6774822538/Doy-ayuda-economica-
[15:20:35]   + https://www.locanto.com.pe/trujillo/ID_8188521547/Entrego-ayuda-econom
[15:21:00]   + https://www.locanto.com.pe/trujillo/ID_7625834348/Ayuda-economica-a-ca
[15:21:23]   + https://www.locanto.com.pe/trujillo/ID_8188637297/ENTREGO-AYUDA-A-MUJE
[15:22:14]   + https://www.locanto.com.pe/trujillo/ID_6774821966/DOY-AYUDA-ECONOMICA-
[15:22:52]   + https://www.locanto.com.pe/trujillo/ID_6774822035/Doy-ayuda-economica-
[15:22:53] DONE trujillo: added=80
